NumTransactions,IncrementalThroughput,IncrementalLatency,IncrementalGasUsed
10,1.6246953696181965,24.3,204004
25,1.2235708692247456,16.36,186916
50,0.9916896408100122,13.84,186928
75,0.7790588968526021,14.786666666666667,186916
